Name,Jan 2024,Feb 2024,Mar 2024,Apr 2024,May 2024,Jun 2024,Jul 2024,Aug 2024,Sep 2024,Oct 2024,Nov 2024,Dec 2024,Total
Total Income,135108.12,87682,79076.6,91662.62,94688.09,85680.31,114398.2,101338.29,74429.65,108482.02,121679.29,125134.7,1219359.89
    Sales,135108.12,87682,79076.6,91662.62,94688.09,85680.31,114398.2,101338.29,74429.65,108482.02,121679.29,125134.7,1219359.89
        Shipping Income,1150.24,639.6,1037.98,894.53,996.93,1135.25,1182,809,953,1381.07,1409.15,1233.96,12822.71
        Discounts and Refunds,-3052.89,-2291.78,-2188.99,-2914.97,-1927.27,-912.11,-2915.01,-1151.35,-1200.55,-1834.75,-10061.18,-10975.77,-41426.62
            Discounts and refunds - Invoices and Cash,-132,0,0,0,0,0,0,0,0,0,0,0,-132
        Sales of product income - Invoices and Cash,119687.46,81556.72,72947.8,84532.38,88189.44,81318.71,111271.81,96630.12,70053.89,101877.68,104997.08,109483.61,1122546.7
        Sales of product income - Company 2,9835.31,7573.34,6979.75,9150.68,7428.99,4138.46,4859.4,5050.52,4623.31,7058.02,25334.24,25392.9,117424.92
Online Sales Channel 1,7488,204.12,300.06,0,0,0,0,0,0,0,0,0,7992.18
Total Cost Of Goods Sold,-56581.38,-40999.88,-36766.72,-43094.4,-43984.58,-39310.47,-53420.63,-46773.21,-34351.7,-50110.8,-59952.69,132051.07,-373295.39
    Cost of Goods Sold,-56581.38,-40999.88,-36766.72,-43094.4,-43984.58,-39310.47,-53420.63,-46773.21,-34351.7,-50110.8,-59952.69,132051.07,-373295.39
        Cost of goods sold - Invoices and Cash,-52057.2,-37516.21,-33556.11,-38885.02,-40567.24,-37406.74,-51185.2,-44449.98,-32224.89,-46864,-48298.84,143731.91,-319279.52
        Cost of goods sold - Company 2,-4524.18,-3483.67,-3210.61,-4209.38,-3417.34,-1903.73,-2235.43,-2323.23,-2126.81,-3246.8,-11653.85,-11680.84,-54015.87
Gross Profit,78526.74,46682.12,42309.88,48568.22,50703.51,46369.84,60977.57,54565.08,40077.95,58371.22,61726.6,257185.77,846064.5
Total Expenses,-100204.2,-53082.51,-67813.62,-54150.37,-57933.47,-39794.07,-54769.58,-53600.66,-52183.21,-66100.39,-86766.27,-97173.18,-783571.53
    Advertising & Selling Expense,-61459.21,-11740.98,-17067.58,-14414.69,-22391.23,-11464.25,-10376.46,-9846.63,-3278.43,-16898.78,-17740.24,-22237.7,-218916.18
