Name,Jan 2024,Feb 2024,Mar 2024,Apr 2024,May 2024,Jun 2024,Jul 2024,Aug 2024,Sep 2024,Oct 2024,Nov 2024,Dec 2024,Total
Total Income,99195.74,100086.22,498493.84,73887.77,103772.56,97718.42,165375.92,101874.05,120925.89,206633,157740,177008.2,1902711.61
    Chargebacks,0,0,0,0,0,0,0,-54.24,0,0,0,0,-54.24
    Sales,99195.74,100086.22,498493.84,73887.77,103772.56,97718.42,165375.92,101928.29,120925.89,206633,157740,177008.2,1902765.85
        Discounts and Refunds,-9648.32,-8229.09,-5385.63,-8365.46,-5712.09,-7403.85,-12568.76,-8613.25,-6014.62,-14436.27,-23273.91,-16124.25,-125775.5
        Sales of Product Income - Online Retailer 1,46936.16,47504.61,28529.79,39633.95,34788.7,39905.57,59904.73,43036.12,35016.63,59574.84,87459.43,64576.62,586867.15
        Sales of Product Income - Online Retailer 2,29268.98,25863.7,27831.29,22341.09,13654.38,22740.32,35811.09,26537.59,24472.48,42785.47,24193.37,28084.26,323584.02
        Sales of Product Income - Invoices and cash,31077.36,32402.29,445037.37,17417.22,58973.54,40387.45,79938.17,38394.63,65849.83,116451.44,68264.85,98871.59,1093065.74
        Sales of Product Income - Online Retailer 3,1561.56,2544.71,2481.02,2860.97,2068.03,2088.93,2290.69,2573.2,1601.57,2257.52,1096.26,1599.98,25024.44
Total Cost Of Goods Sold,-45280.97,-45356.3,-245179,-33692.06,-48930.87,-45046.36,-77491.06,-46924.33,-56333.4,-98254.99,-77110.96,-85449.49,-905049.79
    Cost of Goods Sold,-45280.97,-45356.3,-245179,-33692.06,-48930.87,-45046.36,-77491.06,-46924.33,-56333.4,-98254.99,-77110.96,-85449.49,-905049.79
        Cost of goods sold - Online Retailer 1,-17836.47,-18052.24,-10841.67,-15061.32,-13220.16,-15164.65,-22765.44,-16353.9,-13306.33,-22639.26,-33235.34,-24539.49,-223016.27
        Cost of goods sold - Online Retailer 2,-11124.98,-9830.47,-10578.05,-8491.53,-5189.82,-8643.42,-13611.04,-10086.38,-9301.22,-16261.19,-9195,-10674.17,-122987.27
        Cost of goods sold - Invoices and cash,-15538.69,-16201.15,-222518.7,-8708.63,-29486.79,-20193.75,-39969.14,-19197.32,-32924.96,-58225.73,-34132.44,-49435.81,-546533.11
        Cost of goods sold - Sales of Product Income - Online Retailer 3,-780.83,-1272.44,-1240.58,-1430.58,-1034.1,-1044.54,-1145.44,-1286.73,-800.89,-1128.81,-548.18,-800.02,-12513.14
Gross Profit,53914.77,54729.92,253314.84,40195.71,54841.69,52672.06,87884.86,54949.72,64592.49,108378.01,80629.04,91558.71,997661.82
Total Expenses,-100695.54,-82462.05,-71560.46,-62844.32,-78808.74,-79731.01,-101000.39,-124063.48,-100735.07,-105437.67,-99841.25,-109636.34,-1116816.32
    Contract labor,0,0,-5000,-10000,0,-5000,0,0,0,0,0,0,-20000
    Advertising & Selling Expense,-65358.87,-45413.11,-24571.91,-24680.87,-32906.43,-32373.43,-58137.46,-65736.01,-44984.38,-47260.44,-45978.65,-52936.95,-540338.51
        Selling expenses,-14855.27,-18134.36,-14343.77,-12177.13,-14116.12,-13307.17,-22671.47,-23201.8,-15180.42,-32430.61,-25750.62,-30945.75,-237114.49
            Chargeback - Invoices,-822.79,-128.39,-2211.68,-50.2,-180.17,-13.88,-24.63,-277.37,-377.55,-95.78,-135.37,-228.63,-4546.44
            Shipping and postage,-12935.52,-16894.85,-11474.56,-11247.86,-13118.57,-12359.94,-21329.01,-21949.09,-13983.66,-30892.73,-23764.93,-29269.51,-219220.23
            Platform Fee - Shopify,-1096.96,-1111.12,-657.53,-879.07,-817.38,-933.35,-1317.83,-975.34,-819.21,-1442.1,-1850.32,-1447.61,-13347.82
        Advertising & Marketing,-50503.6,-27278.75,-10228.14,-12503.74,-18790.31,-19066.26,-35465.99,-42534.21,-29803.96,-14829.83,-20228.03,-21991.2,-303224.02
            Other Advertising & Marketing,-47899.97,-19473.09,-5394.86,-10000,-8866.67,-17700,-6666.67,-18500,0,-10200,-7600,0,-152301.26
            Web ads,0,0,0,0,0,0,0,0,0,0,-3215.14,-10058.08,-13273.22
            Trade spend,-1463.98,-7577.82,-3944.16,-1610.51,-8529.03,-1141.38,-16205.08,-23791.59,-9053.96,-4386.52,-3243,-10402.39,-91349.42
    General & Administrative expenses,-35336.67,-37048.94,-41988.55,-28163.45,-45902.31,-42357.58,-42862.93,-58327.47,-55750.69,-58177.23,-53862.6,-56699.39,-556477.81
        Insurance,-532.42,-532.42,-532.42,0,-607.42,-39,-1129.84,-1098.84,0,-1246.13,-589.81,-633.81,-6942.11
        Meals & Entertainment,-163.94,-421.12,-922.6,-51.79,-277.92,-144.85,-97.34,0,-168.73,-489.35,-256.15,-509.01,-3502.8
        Other business expenses,-760.3,-944.07,-171.88,-164.05,-807.91,-1125.53,-334,-27.14,-1996.81,-1718.98,-149.96,-564.42,-8765.05
        Software & Apps,-6742.89,-2085.01,-3167.76,-2400.36,-5325.21,-3094.96,-2183.94,-1634.15,-2235.88,-3219.02,-2126.77,-2188.09,-36404.04
            Other Software & Apps,-111.3,0,-550,-900,-282.06,-1544.67,-903.81,-564.07,-1151.01,-758.76,-690.1,-1033.68,-8489.46
        Payroll Expense,-3500,-4375,-5250,-5250,-5250,-5250,-5250,-5250,-17790.2,-19805.56,-19317.56,-14072.34,-110360.66
        Bank Fees & Service Charges,-672.86,22.78,-233.92,-50.9,-81.73,-173.76,-64.16,-1113.3,-100.3,-84.72,-212.5,-242.5,-3007.87
        Dues & Subscriptions,-2882.84,-1654.53,-3692.42,-3868.7,-3599.76,-263.98,-2118.41,-1063.98,-346.41,-1112.98,-1369.87,-308.1,-22281.98
        Interest Expense,-307.56,-447.08,-436.51,-509.82,-856.1,-993.87,-1263.83,-1303.93,-1156.65,-874.42,-482.49,-193.25,-8825.51
        Contract labor,-13341.37,-15513.07,-16632.37,-5629.4,-12194.83,-13192.35,-18266.64,-24382.23,-21905.92,-20954.73,-18576.29,-22883.9,-203473.1
        Software and apps,-812,-800,-800,-800,0,0,-189,0,-1835.47,-1527.49,-1240.95,-2957.1,-10962.01
        Rent,0,-1442,0,0,-4326,0,-105.2,-14420,0,0,-2884,-1538.55,-24715.75
        Professional Services,0,0,-5819,-2000,-2000,-5000,0,0,0,0,0,0,-14819
        Other G & A,-5620.49,-8857.42,-4329.67,-7438.43,-10575.43,-13079.28,-11860.57,-8033.9,-8214.32,-7143.85,-6656.25,-10608.32,-102417.93
            Business licenses and taxes,0,0,0,0,0,0,0,0,0,-848,0,0,-848
            Uncategorized Expense,0,0,0,-238.83,0,0,0,0,0,0,0,0,-238.83
            General business expenses,-77.27,-98,0,0,0,0,0,0,0,0,0,0,-175.27
            Meals and Entertainment,0,0,0,0,-988.62,-1532.54,-326.46,-744.23,-972.18,322.7,-573.67,-1723.78,-6538.78
            Office expenses,-3778.37,-2858.12,-2859.64,-4860.5,-4632.68,-2878.66,-4407.07,-4356.82,-3348.7,-4091.56,-3422.91,-3712.47,-45207.5
            Utilities,0,-95.02,-188.02,-124.29,-134.93,-134.93,-134.93,-134.93,-134.93,-134.93,-134.93,-167.86,-1519.7
            Supplies,0,-28.03,0,0,0,-414.25,-982.69,-331.09,-378.65,-785.83,0,0,-2920.54
            Travel,-1764.85,-5778.25,-1282.01,-2214.81,-4819.2,-8118.9,-6009.42,-2466.83,-3379.86,-1606.23,-2524.74,-5004.21,-44969.31
Net Operating Profit,-46780.77,-27732.13,181754.38,-22648.61,-23967.05,-27058.95,-13115.53,-69113.76,-36142.58,2940.34,-19212.21,-18077.63,-119154.5
Total Other Income,0,125.82,0,0,0,0,0,0,0,0,0,0,125.82
    Other Income,0,125.82,0,0,0,0,0,0,0,0,0,0,125.82
        Other Miscellaneous Income,0,125.82,0,0,0,0,0,0,0,0,0,0,125.82
Total Other Expenses,-2465.75,-811.67,-890.05,-905.6,-811.67,-7391.61,-811.67,-845.54,-1295.55,-811.67,-882.96,-1062.23,-18985.97
    Other Expense,-2465.75,-811.67,-890.05,-905.6,-811.67,-7391.61,-811.67,-845.54,-1295.55,-811.67,-882.96,-1062.23,-18985.97
        Contributions to Charities,-1590,0,0,0,0,-4738.68,0,0,-350,0,0,0,-6678.68
        Other Miscellaneous Expense,-64.08,0,-100.88,-71.43,0,-1841.26,0,-33.87,-133.88,0,-71.29,-250.56,-2567.25
        Amortization expenses,-811.67,-811.67,-789.17,-834.17,-811.67,-811.67,-811.67,-811.67,-811.67,-811.67,-811.67,-811.67,-9740.04
Net Other Income,-2465.75,-685.85,-890.05,-905.6,-811.67,-7391.61,-811.67,-845.54,-1295.55,-811.67,-882.96,-1062.23,-18860.15
Net Profit,-49246.52,-28417.98,180864.33,-23554.21,-24778.72,-34450.56,-13927.2,-69959.3,-37438.13,2128.67,-20095.17,-19139.86,-138014.65
