Name,Jan 2024,Feb 2024,Mar 2024,Apr 2024,May 2024,Jun 2024,Jul 2024,Aug 2024,Sep 2024,Oct 2024,Nov 2024,Dec 2024,Total
Total Income,94900,97657.71,492937.51,71571.76,88849.14,97337.78,163748.18,93072.99,133181.75,184361.02,133351.93,91272.27,1742242.04
    Income.Income.Sales Of Product Income.Chargebacks,-694.49,-128.39,-2211.68,-50.2,-180.17,-13.88,-24.63,-277.37,-264.5,-95.78,-135.37,-174.29,-4250.75
    Income.Income.Sales Of Product Income.Sales,95594.49,97786.1,495149.19,71621.96,89029.31,97351.66,163772.81,93350.36,133446.25,184456.8,133487.3,91446.56,1746492.79
        Income.Income.Discounts Refunds Given.Discounts and Refunds,-1648.64,-830.29,-1799.12,-805.36,-82.97,124.71,-858.05,-7705.27,-4948.56,-14436.27,-22155.86,-15618.76,-70764.44
        Income.Income.Sales Of Product Income.Sales of Product Income - Shopify,36983.87,39013.78,23397.75,30952.8,29143.2,32165.25,47774.89,34291.42,28794.18,59574.84,63912.92,48067.8,474072.7
        Income.Income.Sales Of Product Income.Sales of Product Income - Amazon Seller Central,27620.34,25033.41,26032.17,21569.72,13571.41,22585.32,34696.11,26320.7,23975.11,38783.39,22369.13,22168.85,304725.66
        Income.Income.Sales Of Product Income.Sales of Product Income - Invoices and cash,31077.36,32024.49,445037.37,17043.83,44329.64,40387.45,79869.17,37870.31,84023.95,98277.32,68264.85,35228.69,1013434.43
        Income.Income.Sales Of Product Income.Sales of Product Income - Faire,1561.56,2544.71,2481.02,2860.97,2068.03,2088.93,2290.69,2573.2,1601.57,2257.52,1096.26,1599.98,25024.44
Total Cost Of Goods Sold,-40872.6,-41625.26,-242544.57,-29913.15,-39462.41,-42046.03,-72452.87,-43302.71,-62866.97,-87647.14,-67470.15,-44808.77,-815012.63
    Expense.Cost of Goods Sold.Supplies Materials COGS.Cost of Goods Sold,-40872.6,-41625.26,-242544.57,-29913.15,-39462.41,-42046.03,-72452.87,-43302.71,-62866.97,-87647.14,-67470.15,-44808.77,-815012.63
